y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
2000;Enercon;1078 Markbygden; Dragaliden 8; K24e 82/108 101101;6000;5596 4940 6135 6135 97;9 823 96 1;;;;;;;;;;;
2000;Enercon;1079 Markbygden; Dragaliden 9; K24e 82/108 101101;6000;4749 5016 5758 5758 99;3 769 92 1;;;;;;;;;;;
2000;Enercon;1080 Markbygden; Dragaliden 10 K24e 82/108 101001;6000;5041 4468 5522 5522 99;3 728 97 2;;;;;;;;;;;;
2000;Enercon;1081 Markbygden; Dragaliden 11 K24e 82/108 101001;6000;4918 4633 5460 5460 98;9 728 97 2;;;;;;;;;;;;
2000;Enercon;1082 Markbygden; Dragaliden 12 K24e 82/108 101001;6000;5040 4896 5651 5651 99;5 738 97 1;;;;;;;;;;;;
2000;Enercon;1086 Egby 5;Borgholm H5a 70/64 090715;5200;3277 3812 4131 4131 98;9 595 98 0;;;;;;;;;;;;
2000;Vestas;1088 Håberg 3;Flo C8d 90/105 090501;5200;5649 5284 6537 6537 97;7 800 89 21;;;;;;;;;;;;
2000;Vestas;1089 Håberg 4;Flo C8d 90/105 090501;5200;5655 5364 6623 6623 98;1 752 82 117;;;;;;;;;;;;
2000;Vestas;1104 Klinte 2;Klintehamn I6c 80/67 090725;5200;4308 4273 5190 5190 99;4 717 97 1;;;;;;;;;;;;
2000;Vestas;1105 Klinte 3;Klintehamn I6c 80/67 090724;4800;3735 3679 4534 4534 99 663 95 14;;;;;;;;;;;;;
2000;Vestas;1106 Klinte 4;Klintehamn I6c 80/67 090723;5000;3739 3869 4603 4603 99;4 665 96 4;;;;;;;;;;;;
2000;Vestas;1107 Klinte 5;Klintehamn I6c 80/67 090723;4800;4039 4046 4885 4885 99;3 698 95 13;;;;;;;;;;;;
2000;Vestas;1108 Klinte 6;Klintehamn I6c 80/67 090723;5200;4370 4242 5396 5396 98;9 730 95 13;;;;;;;;;;;;
2000;Enercon;1109 Lyby; Knivsta 1;Lyby D2g 82/78 090901;5200;4390 5528 5617 5617 94;3 629 85 78;;;;;;;;;;;
2000;Enercon;1110 Lyby; Svingan 1;Lyby D2g 82/78 090901;5200;4601 5191 5787 5787 97;8 782 93 44;;;;;;;;;;;
2000;Vestas;1113 Long Vind AB; Ivar;Long C8c 90/95 090914;5400;5916 5749 6245 6245 96;;;;;;;;;;;;
2000;Vestas;1114 Long Vind AB; Göte;Long C8c 90/95 090914;5400;5949 5815 6281 6281 93;4;;;;;;;;;;;
2000;Vestas;1115 Long Vind AB; Egon;Long C8c 90/95 090914;5400;5972 5779 5781 5781 88;8;;;;;;;;;;;
2000;Enercon;1116 Håkantorp 1;Håkantorp C8e 82/98 090801;5300;5243 5161 6368 6368 99;5 838 95 0;;;;;;;;;;;;
2000;Enercon;1117 Håkantorp 2;Håkantorp C8e 82/98 090801;5300;5084 4856 6194 6194 99;3 809 95 0;;;;;;;;;;;;
2000;Enercon;1118 Emma af Göksholm;Göksh F10f 82/98 090901;5400;4519 4336 5559 5559 96;5 635 88 87;;;;;;;;;;;;
2000;Enercon;1120 Isgrannatorp 1;Isgranna D3c 82/98 091101;4600;3914 4465 4954 4954 99;8 634 97 0;;;;;;;;;;;;
2000;Enercon;1121 Isgrannatorp 2;Isgranna D3c 82/98 091101;4600;3861 4419 4936 4936 98;9 634 97 0;;;;;;;;;;;;
2000;Enercon;1122 Isgrannatorp 3;Isgranna D3c 82/98 091101;4600;3990 4386 4807 4807 98;8 619 97 0;;;;;;;;;;;;
2000;Enercon;1141 Eolus Espinge;Hurva C2i 82/78 100101;5600;4978 5568 5858 5858 99;7 618 77 0;;;;;;;;;;;;
2000;Enercon;1142 Blåsinge Espinge;Hurva C2i 82/78 100101;5600;5184 5856 6186 6186 95;7 859 99 0;;;;;;;;;;;;
2000;Enercon;1143 Eslövs Vind Klemedstorp;H C2i 82/78 100101;5600;5255 6018 6317 6317 99;7 678 83 0;;;;;;;;;;;;
2000;Enercon;1144 Eolus Klemedstorp;Hurva C2i 82/78 100101;5600;5130 5806 6418 6418 99;7 869 99 0;;;;;;;;;;;;
2000;Enercon;1145 Göteneporten 1;Västermark D8g 82/98 091022;5000;4404 4430 5303 5303 98;7 658 99 0;;;;;;;;;;;;
2000;Enercon;1146 Göteneporten 2;Västermark D8g 82/98 091026;5000;4088 4191 4987 4987 98;9 641 99 1;;;;;;;;;;;;
2000;Enercon;1147 Göteneporten 3;Västermark D8d 82/98 091116;5000;4210 4284 5107 5107 98;5 656 99 1;;;;;;;;;;;;
2000;Enercon;1148 Göteneporten 4;Nattorp; Lu D8d 82/98 091219;5000;4406 4514 5432 5432 98;8 684 98 8;;;;;;;;;;;
2000;Enercon;1149 Göteneporten 5;Nedersånn D8d 82/98 091219;5000;4581 4636 5804 5804 98;8 791 96 23;;;;;;;;;;;;
2000;Enercon;1150 Göteneporten 6;Dalasjö; Lu D8g 82/98 091219;5000;3638 3755 4625 4625 98;2 626 99 1;;;;;;;;;;;
2000;Enercon;1157 Knäpplan vind I;Hjo E8a 82/97 100208;5000;5189 5416 5046 5046 87;5 13 1 730;;;;;;;;;;;;
2000;Enercon;1158 Knäpplan vind II;Hjo E8a 82/97 100208;5000;5183 5184 5775 5775 98;3 717 91;;;;;;;;;;;;
2000;Vestas;1165 Håcksta Vindpark 1;Hudiksv H16b 90/80 090313;5000;4115 3985 1294 1294 99;8;;;;;;;;;;;;
2000;Vestas;1166 Håcksta Vindpark 2;Hudiksv H16b 90/80 090313;5000;4535 4149 5097 5097 99;4 688 100 0;;;;;;;;;;;;
2000;Vestas;1167 Håcksta Vindpark 3;Hudiksv H16b 90/80 090313;5000;5160 4598 5589 5589 99;5 732 97 0;;;;;;;;;;;;
2000;Vestas;1168 Håcksta Vindpark 4;Hudiksv H16b 90/80 090313;5000;5317 4622 5648 5648 99;3 731 96 0;;;;;;;;;;;;
2000;Vestas;1169 Håcksta Vindpark 5;Hudiksv H16b 90/80 090313;5000;4869 4466 5315 5315 99;8 671 88 0;;;;;;;;;;;;
2000;Enercon;1170 Hörneå Vindpark 1;Hörnefo K20a 82/98 090827;5000;4761 4330 4826 4826 96;9 543 98 4;;;;;;;;;;;;
2000;Enercon;1171 Hörneå Vindpark 2;Hörnefo K20a 82/98 090827;5000;4513 4440 4864 4864 98;9 530 98 3;;;;;;;;;;;;
2000;Enercon;1172 Hörneå Vindpark 3;Hörnefo K20a 82/98 090827;5000;4577 4131 4776 4776 97;6 507 93 15;;;;;;;;;;;;
2000;Enercon;1173 Hörneå Vindpark 4;Hörnefo K20a 82/98 090827;5000;4771 4583 5042 5042 99;2 556 98 3;;;;;;;;;;;;
2000;Enercon;1174 Hörneå Vindpark 5;Hörnefo K20a 82/98 090827;5000;4637 4355 5023 5023 98;7 572 96 23;;;;;;;;;;;;
2000;Enercon;1175 Hörneå Vindpark 6;Hörnefo K20a 82/98 090827;5000;4663 4274 4767 4767 98 572 98 6;;;;;;;;;;;;;
2000;Vestas;1176 Hörneå Vindpark 7;Hörnefo K20a 90/98 091215;5000;5235 5009 4654 4654 97;5;;;;;;;;;;;;
2000;Vestas;1177 Hörneå Vindpark 8;Hörnefo K20a 90/98 091215;5000;5370 4688 4584 4584 96;5;;;;;;;;;;;;
2000;Vestas;1178 Hörneå Vindpark 9;Hörnefo K20a 90/98 091215;5000;5240 4843 4528 4528 97;4;;;;;;;;;;;;
2000;Vestas;1179 Hörneå Vindpark 10;Hörnef K20a 90/98 091215;5000;4721 4801 4566 4566 97;2;;;;;;;;;;;;
2000;Vestas;1180 Hörneå Vindpark 11;Hörnef K20a 90/98 091215;5000;4432 5243 4967 4967 97;4;;;;;;;;;;;;
2000;Enercon;1183 Brostorp 5:2 Höör;Snogerö D2g 82/98 100304;5500;4981 5351 6322 6322 94;5 825 95 31;;;;;;;;;;;;
2000;Enercon;1184 Gärdslösa 1;Gärdslösa H4g 82/78 100301;5100;4539 4791 5350 5350 99;4 740 98 2;;;;;;;;;;;;
2000;Enercon;1185 Gärdslösa 2;Gärdslösa H4g 82/78 100301;5100;4519 4641 5121 5121 98;9 677 99 1;;;;;;;;;;;;
2000;Enercon;1186 Gärdslösa 3; Elsa;Gärdslös H4g 82/78 100301;5100;4068 4526 5140 5140 99;8 662 98 0;;;;;;;;;;;
2000;Enercon;1187 Gärdslösa 4;Gärdslösa H4g 82/78 100301;5100;4353 4635 5109 5109 99;2 674 99 1;;;;;;;;;;;;
2000;Enercon;1188 Gärdslösa 5;Gärdslösa H4g 82/78 100301;5100;4345 4636 4941 4941 99;1 682 98 0;;;;;;;;;;;;
2000;Enercon;1190 Påboda 1;Påboda G4b 82/98 100301;4900;5254 5477 6080 6080 99;4 818 98 5;;;;;;;;;;;;
2000;Enercon;1191 Påboda 2;Påboda G4b 82/98 100301;4900;5067 5176 5993 5993 99;2 792 98 7;;;;;;;;;;;;
2000;Vestas;1222 Vallerstad; Gudrun;Vallersta D5i 90/105 091201;6000;6731 6927 6700 6700 97;3;;;;;;;;;;;
2000;Vestas;1223 Vallerstad; Mathilda;Vallerst D5i 90/105 091209;6000;6487 6542 6606 6606 98;5;;;;;;;;;;;
2000;Vestas;1228 Holmsund 3;Holmsund K20e 90/80 070501;;6436 6170 6101 6101 89;3;;;;;;;;;;;;
2000;Enercon;1230 Ugglum 1-Ugglum Vindpark C9a 82/108 090821;5500;5543 5386 6574 6574 97;6 835 97 9;;;;;;;;;;;;;
2000;Enercon;1231 Ugglum 2-Ugglum Vindpark C9a 82/108 090901;5500;5559 5438 6677 6677 98;5 853 96 13;;;;;;;;;;;;;
2000;Vestas;1232 Gunnarstorp; Sven;Flakebe C8e 90/95 100601;5400;5348 5285 6358 6358 92;5 763 88 44;;;;;;;;;;;
2000;Vestas;1233 Gunnarstorp; Malte;Flakebe C8e 90/95 100601;5400;5337 5248 6438 6438 92;9 810 92 12;;;;;;;;;;;
2000;Vestas;1234 Gunnarstorp; Astrid;Flakeb C8e 90/95 100601;5400;5464 5255 6598 6598 91;8 823 93 11;;;;;;;;;;;
2000;Vestas;1235 Ulvstorp; Djerf;Flakeberg G C8e 90/95 100601;5200;5112 5105 6142 6142 92 794 92 15;;;;;;;;;;;;
2000;Vestas;1236 Ulvstorp; Emil;Flakeberg Gu C8e 90/95 100601;5200;5011 4999 6196 6196 93;4 793 91 20;;;;;;;;;;;
2000;Enercon;1237 Ringsjö Vind Brostorp 3;Sn D2g 82/98 100501;5000;5033 5563 6111 6111 96;8 867 99 0;;;;;;;;;;;;
2000;Enercon;1238 Solberga 1;Korsberga E8a 82/108 100111;5300;5406 5734 6631 6631 97;7 895 99 5;;;;;;;;;;;;
2000;Enercon;1239 Äsperöd 1;Äsperöd D2e 82/78 100601;5400;4256 4726 5246 5246 98;6 676 99 6;;;;;;;;;;;;
2000;Vestas;1240 Lårstad 1;Motala F8g 90/90 100517;5400;6027 6029 7187 7187 98;5 940 97 0;;;;;;;;;;;;
2000;Vestas;1241 Lårstad 2;Motala F8g 90/90 100524;5400;5976 5996 7322 7322 99;5 944 97 0;;;;;;;;;;;;
2000;Vestas;1242 Västraby V90 NO;Västraby D2g 90/78 100601;5400;5230 5939 6358 6358 97;2 880 94 8;;;;;;;;;;;;
2000;Vestas;1243 Lyngbygård 4; Ingeborg;Lyn D2i 90/95 100701;5200;4722 5071 5688 5688 95;7 555 71 136;;;;;;;;;;;
2000;Enercon;1245 Närefors 1;Järpås C8f 82/98 100710;5300;5547 5385 6375 6375 96;1 662 81 117;;;;;;;;;;;;
2000;Enercon;1246 Närefors 2;Järpås C8f 82/98 100710;5300;5553 5468 6764 6764 98;1 890 98 7;;;;;;;;;;;;
2000;Vestas;1248 Tumleberg 4;Tumleberg C8b 90/105 090901;5400;4967 4970 6135 6135 97 852 94;;;;;;;;;;;;;
2000;Vestas;1249 Tumleberg 5;Tumleberg C8b 90/105 090901;5400;4838 4646 5775 5775 97;2 665 81;;;;;;;;;;;;
2000;Vestas;1250 Jordberga; AT1;Klagstorp C1i 90/80 100506;6300;7055 7791 8352 8352 99;1 1061 97 0;;;;;;;;;;;
2000;Vestas;1251 Jordberga; AT2;Klagstorp C1i 90/80 100506;6300;6399 7228 7440 7440 94;8 992 97 2;;;;;;;;;;;
2000;Vestas;1252 Jordberga; AT3;Klagstorp C1i 90/80 100506;6300;6635 7600 7901 7901 98;8 970 96 14;;;;;;;;;;;
2000;Vestas;1254 Näs Drift AB; Backgården;N D7h 90/105 100720;5400;5527 5814 6895 6895 90;3 934 94;;;;;;;;;;;
2000;Vestas;1255 Näs Drift AB; Björstorp;Vart D7h 90/105 100720;5400;5691 5917 7061 7061 91 960 94;;;;;;;;;;;;
2000;Enercon;1256 Äsperöd 2;Äsperöd D2e 82/78 100601;5400;4514 5004 5614 5614 98;8 705 98 13;;;;;;;;;;;;
2000;Enercon;1258 Ramdala 1; Julia;Ramdala F3f 82/98 100901;5400;5667 5722 6737 6737 99;4 908 99 2;;;;;;;;;;;
2000;Enercon;1259 Ramdala 2; Bondevind;Ram F3f 82/98 100901;5400;5628 5933 6703 6703 98;9 902 99 0;;;;;;;;;;;
2000;Enercon;1260 Skarstad;Skarstad C8c 82/98 100618;5200;5596 5462 6790 6790 98;6 876 97 6;;;;;;;;;;;;
2000;Enercon;1261 Stockebäck;Lundsbrunn D8g 82/108 100618;5200;5360 5143 6505 6505 97;2 842 93 46;;;;;;;;;;;;
2000;Vestas;1262 Havsnäs Vindkraftpark D1; F21c 90/95 100705;5337;6521 6442 7386 7386 97;2 983 92 3;;;;;;;;;;;;
2000;Vestas;1263 Havsnäs Vindkraftpark D2; F21c 90/95 100705;5337;5865 5474 5911 5911 93;2 377 47 210;;;;;;;;;;;;
2000;Vestas;1264 Havsnäs Vindkraftpark D3; F21c 90/95 100705;5337;6012 5946 6732 6732 98 899 92 2;;;;;;;;;;;;;
2000;Vestas;1265 Havsnäs Vindkraftpark D4; F21c 90/95 100705;5337;5828 5655 6746 6746 98;5 883 92 2;;;;;;;;;;;;
2000;Vestas;1266 Havsnäs Vindkraftpark D5; F21c 90/95 100705;5337;5837 5813 6050 6050 92;3 903 92 1;;;;;;;;;;;;
2000;Vestas;1267 Havsnäs Vindkraftpark D6; F21c 90/95 100705;5337;6224 3934 5964 5964 78;6 972 93 2;;;;;;;;;;;;
2000;Vestas;1268 Havsnäs Vindkraftpark D7; F21c 90/95 100705;5337;6963 5947 6174 6174 82;3 1004 94 1;;;;;;;;;;;;
2000;Vestas;1269 Havsnäs Vindkraftpark D8; F21c 90/95 100705;5337;6695 5855 6096 6096 84 1013 94 2;;;;;;;;;;;;;
2000;Vestas;1270 Havsnäs Vindkraftpark D9; F21c 90/95 100705;5337;5985 5608 6813 6813 98;4 925 92 11;;;;;;;;;;;;
2000;Vestas;1271 Havsnäs Vindkraftpark D10; F21c 90/95 100705;5337;6315 4671 5820 5820 75;3 991 93 2;;;;;;;;;;;;
2000;Vestas;1272 Havsnäs Vindkraftpark D11; F21f 90/95 100705;5337;6531 5589 5718 5718 87 914 93 2;;;;;;;;;;;;;
2000;Vestas;1273 Havsnäs Vindkraftpark D12; F21f 90/95 100705;5337;6733 5951 7573 7573 98;3 961 94 1;;;;;;;;;;;;
2000;Vestas;1274 Havsnäs Vindkraftpark D13; F21c 90/95 100705;5337;6668 4981 7553 7553 98;1 1007 94 2;;;;;;;;;;;;
2000;Vestas;1275 Havsnäs Vindkraftpark D14; F21f 90/95 100705;5337;6115 5010 6720 6720 95;7 937 93 2;;;;;;;;;;;;
2000;Vestas;1277 Havsnäs Vindkraftpark D16; F21c 90/95 100705;5337;7189 5985 7966 7966 89;3 1026 94 1;;;;;;;;;;;;
2000;Vestas;1279 Havsnäs Vindkraftpark D18; F21c 90/95 100705;5337;6895 5398 7605 7605 98 984 94 1;;;;;;;;;;;;;
2000;Vestas;1280 Havsnäs Vindkraftpark D19; F21c 90/95 100705;5337;6779 5038 6819 6819 88;6 1000 94 1;;;;;;;;;;;;
2000;Vestas;1281 Havsnäs Vindkraftpark D20; F21c 90/95 100705;5337;7240 5701 7103 7103 87 916 82 77;;;;;;;;;;;;;
2000;Vestas;1283 Havsnäs Vindkraftpark E1; F21c 90/95 100705;5337;6359 5778 7253 7253 98;8 872 93 2;;;;;;;;;;;;
2000;Vestas;1284 Havsnäs Vindkraftpark E2; F21c 90/95 100705;5337;5430 4979 6418 6418 98;9 830 93 1;;;;;;;;;;;;
2000;Vestas;1285 Havsnäs Vindkraftpark E3; F21c 90/95 100705;5337;5224 4719 6000 6000 97;2 810 92 2;;;;;;;;;;;;
2000;Vestas;1286 Havsnäs Vindkraftpark E4; F21c 90/95 100705;5337;4919 4529 5929 5929 98;4 801 92 1;;;;;;;;;;;;
2000;Vestas;1287 Havsnäs Vindkraftpark E5; F21c 90/95 100705;5337;5335 4693 6220 6220 98;4 754 92 9;;;;;;;;;;;;
2000;Vestas;1288 Havsnäs Vindkraftpark E6; F21c 90/95 100705;5337;5748 4849 5725 5725 96;2;;;;;;;;;;;;
2000;Vestas;1289 Havsnäs Vindkraftpark E7; F21c 90/95 100705;5337;5913 5164 6823 6823 95;9 829 91 9;;;;;;;;;;;;
2000;Vestas;1290 Havsnäs Vindkraftpark E8; F21c 90/95 100705;5337;5585 4563 5901 5901 90;1 784 91 11;;;;;;;;;;;;
2000;Vestas;1291 Havsnäs Vindkraftpark E9; F21c 90/95 100705;5337;5053 4284 5996 5996 98;6 782 92 7;;;;;;;;;;;;
2000;Vestas;1292 Havsnäs Vindkraftpark E10; F21c 90/95 100705;5337;5074 4313 5923 5923 98;5 701 91 8;;;;;;;;;;;;
2000;Vestas;1293 Havsnäs Vindkraftpark E11; F21c 90/95 100705;5337;5572 4812 5209 5209 83;9 818 92 9;;;;;;;;;;;;
2000;Vestas;1294 Havsnäs Vindkraftpark F1;H F21c 90/95 100705;5337;6275 5251 7144 7144 98;6 886 93 1;;;;;;;;;;;;
2000;Vestas;1295 Havsnäs Vindkraftpark F2;H F21c 90/95 100705;5337;6631 4721 7117 7117 97;1 903 92 2;;;;;;;;;;;;
2000;Vestas;1296 Havsnäs Vindkraftpark F3;H F21c 90/95 100705;5337;5555 4462 6262 6262 97;7 795 91 11;;;;;;;;;;;;
2000;Vestas;1297 Havsnäs Vindkraftpark F4;H F21c 90/95 100705;5337;5679 4517 6182 6182 94;1 827 92 2;;;;;;;;;;;;
2000;Vestas;1298 Havsnäs Vindkraftpark F5;H F21c 90/95 100705;5337;5331 4209 6186 6186 98;4 827 92 1;;;;;;;;;;;;
2000;Vestas;1299 Havsnäs Vindkraftpark F6;H F21c 90/95 100705;5337;5850 4619 5860 5860 85;6 876 93 2;;;;;;;;;;;;
2000;Vestas;1300 Havsnäs Vindkraftpark F7;H F21c 90/95 100705;5337;5718 4549 6398 6398 98;6 690 76 8;;;;;;;;;;;;
2000;Vestas;1301 Havsnäs Vindkraftpark F8;H F21c 90/95 100705;5337;6349 5303 7194 7194 98;1 915 90 18;;;;;;;;;;;;
2000;Vestas;1302 Havsnäs Vindkraftpark F9;H F21c 90/95 100705;5337;5630 4490 6342 6342 98;4 827 92 1;;;;;;;;;;;;
2000;Vestas;1303 Havsnäs Vindkraftpark F10; F21c 90/95 100705;5337;5436 4073 6220 6220 98;3 791 90 17;;;;;;;;;;;;
2000;Vestas;1304 Havsnäs Vindkraftpark F11; F21c 90/95 100705;5337;5421 4168 5650 5650 94;8 786 92 2;;;;;;;;;;;;
2000;Vestas;1305 Havsnäs Vindkraftpark F12; F21c 90/95 100705;5337;6256 4812 6984 6984 97;9 895 92 1;;;;;;;;;;;;
2000;Vestas;1306 Havsnäs Vindkraftpark F13; F21c 90/95 100705;5337;6348 4753 6975 6975 98;4 883 90 17;;;;;;;;;;;;
2000;Vestas;1307 Havsnäs Vindkraftpark F14; F21c 90/95 100705;5337;6284 4827 6973 6973 97;8 937 93 2;;;;;;;;;;;;
2000;Vestas;1308 Havsnäs Vindkraftpark F15; F21c 90/95 100705;5337;6305 4658 502 502 99;7;;;;;;;;;;;;
2000;Vestas;1309 Havsnäs Vindkraftpark F16; F21c 90/95 100705;5337;6309 4814 3366 3366 95;2;;;;;;;;;;;;
2000;Enercon;1310 Långå 6;Långå D17e 82/98 100501;;5099 4772 5971 5971 97;5 793 96 27;;;;;;;;;;;;
2000;Enercon;1311 Långå 7;Långå D17e 82/98 100501;;5038 4753 6047 6047 96;6 798 96 30;;;;;;;;;;;;
2000;Vestas;1313 Källeberg 1;Källeberg D7h 90/105 100701;5400;5325 6136 6567 6567 95;6 895 90 38;;;;;;;;;;;;
2000;Vestas;1314 Källeberg 2;Källeberg D7h 90/105 100701;5400;5200 6025 6462 6462 96;8 871 89 33;;;;;;;;;;;;
2000;Vestas;1315 Källeberg 3;Källeberg D7h 90/105 100701;5400;5069 5817 6451 6451 97;9 890 92 19;;;;;;;;;;;;
2000;Vestas;1316 Källeberg 4;Källeberg D7h 90/105 100701;5400;5379 6191 7026 7026 97;1 950 92 22;;;;;;;;;;;;
2000;Vestas;1317 Källeberg 5;Källeberg D7h 90/105 100701;5400;5188 5868 6694 6694 98 897 90 38;;;;;;;;;;;;;
2000;Vestas;1319 Bliekevare 6;Norråker F22f 90/95 090415;5000;4894 3115 5257 5257 95;6 618 91 1;;;;;;;;;;;;
2000;Vestas;1320 Orust; Ileberg 1:Syd;Hårleb B8a 90/95 101018;5300;5487 6094 6795 6795 97;9 859 90 29;;;;;;;;;;;
2000;Vestas;1321 Orust; Ileberg 2:Väst;Hårleb B8a 90/95 101018;5300;5808 6048 6640 6640 98;2 741 90 32;;;;;;;;;;;
2000;Vestas;1322 Orust; Ileberg 3:Öst;Hårleby B8a 90/95 101018;5300;5641 5858 6546 6546 96;5 817 91 18;;;;;;;;;;;
2000;Vestas;1323 FloSal 1;Astranna Gård C8d 90/105 090501;5500;6041 5731 6701 6701 77;1 851 92 22;;;;;;;;;;;;
2000;Vestas;1324 FloSal 2;Astranna Gård C8d 90/105 090917;5500;5862 5784 7323 7323 82 895 94 4;;;;;;;;;;;;;
2000;Vestas;1325 Götala 1;Motala F8d 90/105 101029;5300;5845 5739 7060 7060 98;9 831 91 48;;;;;;;;;;;;
2000;Vestas;1326 Götala 2;Motala F8d 90/105 101029;5300;5905 5906 7112 7112 99;4 908 97 1;;;;;;;;;;;;
2000;Vestas;1327 Götala 3;Motala F8d 90/105 101029;5300;5939 5933 7259 7259 99;5 935 97 1;;;;;;;;;;;;
2000;Vestas;1328 Götala 4;Motala F8d 90/105 101029;5300;5942 5937 7155 7155 99;6 925 97 0;;;;;;;;;;;;
2000;Vestas;1329 Tavelberget 1;Linghed G14a 90/105 100818;6500;7317 6462 8271 8271 98;7 1151 99 0;;;;;;;;;;;;
2000;Vestas;1330 Tavelberget 2;Linghed G13g 90/105 100822;6500;6876 6104 7751 7751 98;2 1109 99 1;;;;;;;;;;;;
2000;Vestas;1331 Tavelberget 3;Linghed G13g 90/105 100908;6500;6695 6044 7631 7631 99;5 1046 99 0;;;;;;;;;;;;
2000;Vestas;1332 Tavelberget 4;Linghed G13g 90/105 100826;6500;7354 6659 8049 8049 97;8 1087 99 0;;;;;;;;;;;;
2000;Vestas;1333 Tavelberget 5;Linghed G13g 90/105 100904;6500;6668 6008 7245 7245 97;9 978 99 0;;;;;;;;;;;;
2000;Vestas;1334 Topperyd verk 3;Topperyd E6h 90/105 101202;5100;5922 6275 5021 5021 98;9;;;;;;;;;;;;
2000;Vestas;1347 Bliekevare 10;Norråker F22f 90/80 081103;5356;5370 3505 5378 5378 91;3 650 91 5;;;;;;;;;;;;
2000;Vestas;1348 Bliekevare 11;Norråker F22f 90/80 081103;5069;5365 3380 5759 5759 94;7 618 91 6;;;;;;;;;;;;
2000;Vestas;1349 Bliekevare 12;Norråker F22f 90/80 081103;4683;4352 2889 4560 4560 96 485 90 0;;;;;;;;;;;;;
2000;Vestas;1350 Bliekevare 13;Norråker F22f 90/80 081103;5597;5371 3918 5178 5178 90;6 610 91 1;;;;;;;;;;;;
2000;Vestas;1351 Bliekevare 14;Norråker F22f 90/80 081103;5696;4938 3438 4935 4935 85;9 372 57 260;;;;;;;;;;;;
2000;Vestas;1352 Bliekevare 15;Norråker F22f 90/80 081103;5733;5536 4119 5654 5654 89;6 641 92 0;;;;;;;;;;;;
2000;Vestas;1353 Bliekevare 16;Norråker F22f 90/80 081103;5127;4650 3353 5156 5156 92;4 611 92 0;;;;;;;;;;;;
2000;Vestas;1354 Bliekevare 17;Norråker F22f 90/80 101001;4972;4885 3460 4858 4858 87;4 319 54 289;;;;;;;;;;;;
2000;Vestas;1356 Strömstad; Neanberg 1 Nor A9i 90/95 101201;5500;5856 5931 6990 6990 94;9 882 91 7;;;;;;;;;;;;
2000;Vestas;1357 Strömstad; Neanberg 2 Mitt A9i 90/95 101201;5500;5371 5408 6433 6433 94 823 90 7;;;;;;;;;;;;;
2000;Vestas;1358 Strömstad; Neanberg 3 Syd A9i 90/95 101201;5500;5696 5816 6824 6824 95 870 91 6;;;;;;;;;;;;;
2000;Vestas;1360 Brasmaviken; Pellekula 1;F E8g 90/105 101215;5200;6265 6703 6656 6656 97;1;;;;;;;;;;;
2000;Vestas;1361 Brasmaviken; Pellekula 2;F E8g 90/105 101215;5200;5710 6386 5509 5509 93;8;;;;;;;;;;;
2000;Enercon;1362 Prässeberg 1 Mitt; Lilla Edet B8c 82/98 100901;5500;4949 4519 5445 5445 98;6 694 94 22;;;;;;;;;;;;
2000;Enercon;1363 Prässeberg 2 Väst; Lilla Ed B8c 82/98 100901;5500;4612 4345 5239 5239 97 690 97 7;;;;;;;;;;;;;
2000;Enercon;1364 Prässeberg 3 Öst; Lilla Edet B8c 82/98 100901;5500;4361 4046 4792 4792 98;5 632 97 8;;;;;;;;;;;;
2000;Vestas;1365 Topperyd 1;Topperyd E6h 90/105 101201;5200;5485 5720 4535 4535 98;6;;;;;;;;;;;;
2000;Vestas;1366 Topperyd 2;Topperyd E6h 90/105 101201;5200;5381 5617 4530 4530 99;7;;;;;;;;;;;;
2000;Vestas;1367 Topperyd 4;Topperyd E6h 90/105 101201;5200;5350 5523 4646 4646 99;8;;;;;;;;;;;;
2000;Enercon;1368 Skånings Åsaka 1;Skånings D8d 82/98 100820;5000;4831 4956 5762 5762 98;7 697 98 4;;;;;;;;;;;;
2000;Enercon;1369 Skånings Åsaka 2;Skånings D8d 82/98 100820;5000;4541 4656 5331 5331 98;4 668 97 10;;;;;;;;;;;;
2000;Enercon;1370 Skånings Åsaka 3;Skånings D8d 82/98 100820;5000;4689 4884 5443 5443 96;4 676 98 5;;;;;;;;;;;;
2000;Vestas;1375 Mossebol 1;Erikstad C9a 90/105 110301;5500;5561 5386 5787 5787 94;1;;;;;;;;;;;;
2000;Vestas;1376 Fågelbacka 1;Erikstad C9a 90/105 110301;;5355 5188 5467 5467 93;6;;;;;;;;;;;;
2000;Vestas;1377 Fågelbacka 2;Erikstad C9a 90/105 110301;;5277 5008 5255 5255 92;3;;;;;;;;;;;;
2000;Vestas;1378 Kråkedalen 1;Erikstad C9a 90/105 110301;;5602 5375 5694 5694 93;7;;;;;;;;;;;;
2000;Vestas;1379 Kråkedalen 2;Erikstad C9a 90/105 110301;;5494 5415 5623 5623 94;;;;;;;;;;;;;
2000;Vestas;1380 Bäcken;Erikstad C9a 90/105 110301;;6140 5997 6214 6214 94;1;;;;;;;;;;;;
2000;Enercon;1381 Rodovålen 4;Vemhån E17a 82/98 100608;6000;5997 5179 7250 7250 97;8 933 100;;;;;;;;;;;;
